feature	PT1	PT2	PT3
ANKRD44-IT1	28	722	40
ANKRD45	0	0	0
ANKRD46	8	0	14
ANKRD49	2	6	2
ANKRD50	0	6	0
ANKRD52	18	0	18
ANKRD53	0	0	0
ANKRD54	100	0	32
ANKRD55	20	0	0
ANKRD6	0	38	6
ANKRD60	0	0	0
ANKRD61	0	0	2
ANKRD62	0	0	0
ANKRD62P1-PARP4P3	0	0	2
ANKRD63	0	0	0
ANKRD65	0	0	18
ANKRD66	0	0	0
ANKRD7	0	0	2
ANKRD9	2	0	2
ANKS1A	38	0	14
ANKS1B	0	2	8
ANKS3	68	0	10
ANKS4B	0	0	2
ANKS6	252	0	10
ANKUB1	0	0	2
ANKZF1	484	124	6
ANLN	0	0	2
ANO1	0	0	10
ANO1-AS2	0	0	2
ANO10	0	0	0
ANO2	0	0	4
ANO3	0	0	6
ANO4	0	0	8
ANO5	8	0	2
ANO6	570	1322	4
ANO7	0	0	4
ANO8	0	0	2
ANO9	48	0	2
ANOS1	0	0	0
ANP32A	502	482	48
ANP32A-IT1	36	0	14
ANP32AP1	0	0	0
ANP32B	420	1134	1506
ANP32C	2	8	0
ANP32D	0	0	0
ANP32E	2	10	6
ANPEP	156	330	62
ANTXR1	0	186	4
ANTXR2	160	244	12
ANTXRL	0	0	6
ANTXRLP1	118	0	8
ANXA1	2326	8488	2
ANXA10	0	0	0
ANXA11	1124	2374	150
ANXA13	0	0	0
ANXA2	628	4058	26
ANXA2P1	14	90	2
ANXA2P2	242	1302	20
ANXA2P3	0	30	2
ANXA2R	66	78	2
ANXA3	0	38	0
ANXA4	228	1276	0
ANXA5	674	5454	8
ANXA6	0	4	12
ANXA7	138	736	12
ANXA8	0	0	10
ANXA8L1	0	0	0
ANXA9	0	62	0
AOAH	258	3126	66
AOAH-IT1	0	0	0
AOC1	0	0	0
AOC2	0	0	2816
AOC3	0	0	0
AOC4P	0	0	0
AOX1	0	0	16
AOX2P	0	0	10
AP1AR	170	0	4
AP1B1	106	658	706
AP1B1P1	0	0	0
AP1G1	12	70	48
AP1G2	100	4	8
AP1M1	20	1374	28
AP1M2	4	0	2
AP1S1	0	2	0
AP1S2	346	1190	28
AP1S3	0	0	2
AP2A1	76	42	58
AP2A2	34	2	18
AP2B1	420	52	14
AP2M1	540	1698	302
AP2S1	282	1998	598
AP3B1	142	54	2
AP3B2	0	0	86
AP3D1	240	388	28
AP3M1	8	98	20
AP3M2	1336	66	4
AP3S1	76	284	0
AP3S2	0	62	0
AP4B1	44	18	4
AP4B1-AS1	0	0	0
AP4E1	4	12	12
AP4M1	0	0	4
AP4S1	316	0	16
AP5B1	184	996	180
AP5M1	0	146	10
